Time,Hot Water,Space Heat,Electricity,Charge
645,4344.554959,7038.178852,900.39025,300
646,214.2020587,7452.653282,631.32675,300
647,189.8643016,5668.030902,412.33225,300
648,189.8643016,3016.651513,379.611,300
649,190.0446235,4619.335745,364.3845,300
650,190.0451258,5735.601546,320.35425,300
651,190.0451258,6406.308921,245.78925,300
652,190.0451258,6894.277627,264.084,300
653,190.0451258,7231.038504,264.535,300
654,252.9120574,7398.178034,270.731,300
655,228.5511214,9442.0981,350.26375,300
656,223.0502649,11747.26608,517.076,300
657,190.0451258,10101.47372,1048.40425,300
658,190.0451258,9796.819376,244.72875,300
659,727.5573912,9019.009548,253.46375,300
660,190.0451258,8613.7891,364.117,300
661,190.0451258,8095.556036,1414.7175,300
662,224.2290198,7729.842822,1122.56725,300
663,190.0451258,7505.2814,474.4815,300
664,312.6356424,7186.248469,470.22725,300
